Institute ID,Name,City,State,Score,Rank
IR-E-U-0172,National Institute of Technology KurukshetraMore Details |  |,Kurukshetra,Haryana,47.98,85
IR-E-U-0092,"National Institute of Technology, RaipurMore Details |  |",Raipur,Chhattisgarh,47.59,86
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,47.43,87
IR-E-C-24004,AU College of Engineering (A)More Details |  |,Visakhapatnam,Andhra Pradesh,47.37,88
IR-E-U-0373,Chitkara UniversityMore Details |  |,Rajpura,Punjab,47.34,89
IR-E-U-1257,COEP Technological UniversityMore Details |  |,Pune,Maharashtra,47.31,90
IR-E-C-19754,SR UniversityMore Details |  |,Warangal,Telangana,47.16,91
IR-E-U-0297,Defence Institute of Advanced TechnologyMore Details |  |,Pune,Maharashtra,46.98,92
IR-E-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,46.9,93
IR-E-U-0017,Jawaharlal Nehru Technological UniversityMore Details |  |,Hyderabad,Telangana,46.74,94
IR-E-C-30045,"C.V. Raman Global University, OdishaMore Details |  |",Bhubaneswar,Odisha,46.62,95
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore Details |  |,Gwalior,Madhya Pradesh,46.25,96
IR-E-U-0189,National Institute of Technology HamirpurMore Details |  |,Hamirpur,Himachal Pradesh,46.1,97
IR-E-U-0147,Pandit Deendayal Energy UniversityMore Details |  |,Gandhinagar,Gujarat,45.97,98
IR-E-U-0621,National Institute of Technology PuducherryMore Details |  |,Karaikal,Pondicherry,45.83,99
IR-E-C-36995,Sri Krishna College of Engineering and TechnologyMore Details |  |,Coimbatore,Tamil Nadu,45.55,100
